name,location,rate_per_sqft,area_in_sqft,area_type,property_title,property_type,bhk_type,price_in_cr
ratnamohan 14,ratnamohan 14,4583,2160,super,ratnamohan 14,flat,3,1.05
"jivraj, 132 ft ring road, ahmedabad west","jivraj, 132 ft ring road, ahmedabad west",16666,420,built-up,"jivraj, 132 ft ring road, ahmedabad west",house,4,0.7
rar parkview kadamb,"invaishnodevi circle, ahmedabad north",10417,768,carpet,rar parkview kadamb,flat,3,0.8
scarlet springs,"innew ranip, ahmedabad",4378,1674,super,scarlet springs,flat,3,0.7328
siddharth shine,"injagatpur, ahmedabad",10514,856,carpet,siddharth shine,flat,3,0.9
"uttpal sky, commerce six road","uttpal sky, commerce six road",7890,2763,super,"uttpal sky, commerce six road",flat,3,2.18
elite neptune,nan,,2112,carpet,elite neptune,flat,4,
het aaradhya home,het aaradhya home,4762,756,built-up,het aaradhya home,flat,1,0.36
nakshatra heights,nakshatra heights,3531,1161,super,nakshatra heights,flat,2,0.41
sukirti 54,sukirti 54,4532,1765,super,sukirti 54,flat,3,0.8
the beaumonde,"inshilaj, ahmedabad",,2775,carpet,the beaumonde,flat,4,
shagun saral 207,"inzundal, ahmedabad",9294,850,carpet,shagun saral 207,flat,3,0.79
artham prism,nan,7807,1409,super,artham prism,flat,4,1.1
mathrubhumi tenanent nr.dmart,mathrubhumi tenanent nr.dmart,12260,1305,plot,mathrubhumi tenanent nr.dmart,house,1,1.6
khyati green aura,khyati green aura,6940,893,super,khyati green aura,flat,3,0.62
goyal orchid gold,goyal orchid gold,5636,2395,carpet,goyal orchid gold,flat,3,1.35
skj siddharth vrundavan,"injagatpur, ahmedabad",9935,1540,carpet,skj siddharth vrundavan,flat,4,1.53
shilpgram skyleaf,"inbilasiya, ahmedabad",6711,909,carpet,shilpgram skyleaf,flat,3,0.61
arora vihar,arora vihar,4563,5500,super,arora vihar,flat,8,2.51
ganesh housing malabar county 3,ganesh housing malabar county 3,6604,1287,super,ganesh housing malabar county 3,flat,2,0.85
maruti aatman,"inambli, ahmedabad",,2598,carpet,maruti aatman,flat,4,
"khokhara, ahmedabad, ahmedabad east","khokhara, ahmedabad, ahmedabad east",13275,1273,super,"khokhara, ahmedabad, ahmedabad east",flat,4,1.69
"vishal nagar, isanpur, ahmedabad, ahmedabad east","vishal nagar, isanpur, ahmedabad, ahmedabad east",6543,810,super,"vishal nagar, isanpur, ahmedabad, ahmedabad east",flat,4,0.53
panache,"3, 4",1868,6156,super,panache,flat,5,1.15
swastik vivanta,swastik vivanta,4352,1700,super,swastik vivanta,flat,3,0.74
lalita soc. beside motibaug soc,lalita soc. beside motibaug soc,26000,1000,super,lalita soc. beside motibaug soc,flat,6,2.6
pebble bay,pebble bay,7281,1800,super,pebble bay,flat,3,0.9
sanvicasa saharsh,nan,6526,862,carpet,sanvicasa saharsh,flat,3,0.5625
blue bell,nan,3152,2142,super,blue bell,flat,3,0.6751
status sharan,nan,7268,853,carpet,status sharan,flat,3,0.62
neelkanth nirmal signature,neelkanth nirmal signature,4678,1710,super,neelkanth nirmal signature,flat,3,0.8
radhe bungalows,radhe bungalows,11333,1500,super,radhe bungalows,flat,4,1.7
sheladia eris,nan,3588,1505,super,sheladia eris,flat,3,0.54
kavisha urbania,kavisha urbania,6025,1195,super,kavisha urbania,flat,2,0.72
"bopal, ahmedabad, ahmedabad west","bopal, ahmedabad, ahmedabad west",15833,2250,plot,"bopal, ahmedabad, ahmedabad west",land,4,2.85
"karmachari nagar part-1, ghatlodia, ahmedabad west","karmachari nagar part-1, ghatlodia, ahmedabad west",13316,3229,carpet,"karmachari nagar part-1, ghatlodia, ahmedabad west",land,5,4.3
sampatti celestial garden living,nan,16230,1602,carpet,sampatti celestial garden living,flat,4,2.6
avirat silver brook,avirat silver brook,5256,1484,super,avirat silver brook,flat,3,0.78
sweven by signature,nan,3509,3420,super,sweven by signature,flat,4,1.2
marigold apartment,marigold apartment,6177,1376,built-up,marigold apartment,flat,3,0.85
shrinand city 8,shrinand city 8,3526,1035,super,shrinand city 8,flat,2,0.365
dev home town 4,dev home town 4,4700,1170,carpet,dev home town 4,flat,2,0.55
vision madhuvan glory,vision madhuvan glory,3888,900,super,vision madhuvan glory,floor,2,0.35
k3 orium elements,nan,,921,carpet,k3 orium elements,flat,3,
hindva celino,hindva celino,19607,1275,built-up,hindva celino,flat,4,2.5
indraprastha tower,"road, ahmedabad",5000,1440,super,indraprastha tower,flat,3,0.72
shree sarju a3 heights,shree sarju a3 heights,4770,1782,carpet,shree sarju a3 heights,flat,3,0.85
radhey skyline,radhey skyline,3723,1665,super,radhey skyline,flat,3,0.62
deep indraprasth ixora,nan,6005,866,super,deep indraprasth ixora,flat,3,0.52
gidc flats,gidc flats,4448,191,super,gidc flats,floor,1,0.085
bopal haat & home,bopal haat & home,4871,1170,built-up,bopal haat & home,flat,2,0.57
sun atmosphere,nan,,835,carpet,sun atmosphere,flat,3,
imperia grace,"inzundal, ahmedabad",7497,867,carpet,imperia grace,flat,3,0.65
divyajyot sarang sky,"invaishnodevi circle, ahmedabad north",8512,1008,carpet,divyajyot sarang sky,flat,3,0.858
gayatri maitri tower,gayatri maitri tower,4911,1242,super,gayatri maitri tower,flat,2,0.61
shree balaji agora residency,shree balaji agora residency,4577,1420,super,shree balaji agora residency,flat,3,0.65
greencity,greencity,5925,810,super,greencity,flat,2,0.48
raghav raghunandan heights,raghav raghunandan heights,2645,945,super,raghav raghunandan heights,flat,2,0.25
binori aristella,nan,10079,3562,carpet,binori aristella,flat,5,3.59
swati gardenia,swati gardenia,6250,1840,super,swati gardenia,flat,3,1.15
ambawadi apartment,ambawadi apartment,6787,1989,built-up,ambawadi apartment,floor,4,1.35
green view,green,7623,2335,super,green view,flat,3,1.78
cloud 9,cloud 9,9022,3447,super,cloud 9,flat,4,3.11
shyaswa shristii,nan,11150,852,carpet,shyaswa shristii,flat,3,0.95
rushikesh city centre homes,rushikesh city centre homes,4094,1710,super,rushikesh city centre homes,flat,3,0.7
vivaan solitaire,"inzundal, ahmedabad",8373,836,built-up,vivaan solitaire,flat,3,0.7
adani aster neo,"inadani shantigram, vaishnodevi circle",12283,635,carpet,adani aster neo,flat,2,0.78
ganesh skyline,ganesh skyline,5263,1710,super,ganesh skyline,flat,3,0.9
yash evana,yash evana,6260,1917,super,yash evana,flat,3,1.2
shukan residency,shukan residency,7897,1214,super,shukan residency,flat,2,0.65
supercity luxuria,nan,13078,2401,carpet,supercity luxuria,flat,4,3.14
avirat silver harmony 2,avirat silver harmony 2,5348,2141,super,avirat silver harmony 2,flat,3,1.15
aarav elenza infinium,nan,13189,834,carpet,aarav elenza infinium,flat,2,1.1
sargam,sargam,6944,1080,carpet,sargam,flat,2,0.75
aster by adani realty,aster by adani realty,10031,697,carpet,aster by adani realty,flat,2,0.7
aakruti aangan,aakruti aangan,2187,800,built-up,aakruti aangan,flat,2,0.175
dharmadev neelkanth villa,dharmadev neelkanth villa,13778,2250,plot,dharmadev neelkanth villa,land,4,3.15
eshaa aryan sky,"innaroda, ahmedabad",7756,967,carpet,eshaa aryan sky,flat,3,0.75
shri haridream land,shri haridream land,4135,1620,plot,shri haridream land,flat,3,0.67
krish residency,krish residency,4995,1458,super,krish residency,flat,2,0.49
shrimay opulence,shrimay opulence,5317,1730,super,shrimay opulence,flat,3,0.92
archway by adani realty,archway by adani realty,6198,1936,super,archway by adani realty,flat,3,1.2
goyal orchid gold,nan,5253,2094,carpet,goyal orchid gold,flat,4,1.1
radhey skyline,radhey skyline,3723,1665,super,radhey skyline,flat,3,0.62
shukan glory,shukan glory,4444,1260,super,shukan glory,flat,2,0.56
sargam apartment,sargam apartment,7576,990,super,sargam apartment,flat,2,0.75
the serene life style,the serene life style,5752,1530,super,the serene life style,flat,3,0.88
safal riviera aspire,safal riviera aspire,6751,2740,super,safal riviera aspire,flat,3,1.85
sky sol,sky sol,5208,1440,super,sky sol,flat,3,0.75
shivalik avenue,shivalik avenue,8456,3311,super,shivalik avenue,flat,4,2.8
deep indraprasth shivanta,deep indraprasth shivanta,6300,3170,plot,deep indraprasth shivanta,flat,4,2
kavisha amara,kavisha amara,5034,1470,super,kavisha amara,flat,3,0.74
deep indraprasth shivanta,deep indraprasth shivanta,6041,2400,super,deep indraprasth shivanta,flat,3,1.56
akshaj aurum heights,akshaj aurum heights,12500,3200,super,akshaj aurum heights,flat,4,4
nilkanth shyam upvan,nan,2641,1980,super,nilkanth shyam upvan,flat,3,0.523
vishwa lake iksa,nan,,1971,super,vishwa lake iksa,flat,3,
eminence 96,eminence 96,9005,3720,super,eminence 96,flat,4,3.35
