name,location,rate_per_sqft,area_in_sqft,area_type,property_title,property_type,bhk_type,price_in_cr
nandanvan 4,nandanvan 4,4497,1890,super,nandanvan 4,flat,3,0.85
aarohi avinya,aarohi avinya,7500,2470,super,aarohi avinya,flat,3,1.85
pruthvi towers,pruthvi towers,664,12960,super,pruthvi towers,flat,3,0.86
prerna aagam,prerna aagam,5555,1440,super,prerna aagam,flat,3,0.8
prerna aagam,prerna aagam,5312,1600,carpet,prerna aagam,flat,3,0.85
nandanvan 2,nandanvan 2,4545,1980,super,nandanvan 2,house,3,0.9
krushnasharay,krushnasharay,6597,1440,super,krushnasharay,flat,3,0.95
nan,"jodhpur, 132 ft ring road",5135,1655,built-up,nan,flat,3,0.95
pruthvi towers,pruthvi towers,7421,1280,built-up,pruthvi towers,flat,3,0.95
falgun tenaments,falgun tenaments,16835,1485,built-up,falgun tenaments,flat,3,2.5
anupam society part 2,anupam society part 2,7777,1800,built-up,anupam society part 2,flat,3,1.4
white pelican,white pelican,13303,1135,carpet,white pelican,flat,3,1.51
inox casa amplio,inox casa amplio,7415,890,built-up,inox casa amplio,flat,3,0.66
shreeji heights,"hanspura, nava naroda",3750,1215,super,shreeji heights,flat,3,0.4556
shree prime hill,"hanspura, nava naroda",8187,916,super,shree prime hill,flat,3,0.75
shyam kutir,"nava naroda, ahmedabad",3395,1620,super,shyam kutir,flat,3,0.55
laxmi sky city,"nava naroda, ahmedabad",3778,1350,super,laxmi sky city,flat,3,0.51
shree radhe repose,"hanspura, nava naroda",7916,821,super,shree radhe repose,flat,3,0.65
shri hari gift city,"hanspura, nava naroda",210,21452,super,shri hari gift city,flat,3,0.45
vitthal velocity,"nava naroda, ahmedabad",3098,1420,super,vitthal velocity,flat,3,0.44
laxmi sky city,"nava naroda, ahmedabad",3481,1350,super,laxmi sky city,flat,3,0.47
maruti gokul palace,"inhanspura, nava naroda",,877,carpet,maruti gokul palace,flat,3,
star empire and elegance,star empire and elegance,9551,1047,built-up,star empire and elegance,flat,3,1
shiv shivanta sky,shiv shivanta sky,8566,642,built-up,shiv shivanta sky,flat,3,0.55
laxmi sky city,laxmi sky city,3461,2600,super,laxmi sky city,flat,3,0.9
sanket flat,sanket flat,6061,1980,super,sanket flat,flat,3,1.2
pearl heights,pearl heights,4687,1600,super,pearl heights,flat,3,0.75
shyam kutir,shyam kutir,5732,1413,super,shyam kutir,flat,3,0.81
shyam villa 2,shyam villa 2,30909,165,carpet,shyam villa 2,house,3,0.51
yash flora,yash flora,4812,1413,built-up,yash flora,flat,3,0.68
indraprasth 3,indraprasth 3,11652,2403,super,indraprasth 3,flat,3,2.8
shilp shaligram,"vastrapur, 132 ft ring road",11210,2230,super,shilp shaligram,flat,3,2.5
scarlet heights,"satellite, ahmedabad",11003,2272,built-up,scarlet heights,flat,3,2.5
ng asavari tower,"satellite, ahmedabad",8253,3150,super,ng asavari tower,flat,3,2.6
tejdhara bungalows part 1,"satellite, ahmedabad",8833,3000,built-up,tejdhara bungalows part 1,house,3,2.65
venus ivy,"satellite, ahmedabad",9349,2781,super,venus ivy,flat,3,2.6
madhav oeuvre iconic,"bodakdev, ahmedabad",8900,2835,plot,madhav oeuvre iconic,flat,3,2.52
kiva 261,"shyamal, 132 ft ring road",8877,2816,super,kiva 261,flat,3,2.5
madhav oeuvre iconic,"bodakdev, ahmedabad",8800,2847,super,madhav oeuvre iconic,flat,3,2.51
sujal apartment,"satellite, ahmedabad",8000,3403,super,sujal apartment,flat,3,2.72
madhav oeuvre iconic,"bodakdev, ahmedabad",8900,2847,plot,madhav oeuvre iconic,flat,3,2.53
falgun tenaments,"jodhpur, 132 ft ring road",16835,1485,built-up,falgun tenaments,flat,3,2.5
madhav oeuvre iconic,"bodakdev, ahmedabad",8429,2847,super,madhav oeuvre iconic,flat,3,2.4
kaladeep apartments,"satellite, ahmedabad",7477,3330,super,kaladeep apartments,house,3,2.49
b rudra elegance,"bodakdev, ahmedabad",7407,3240,super,b rudra elegance,flat,3,2.4
shilp devraj tower,"bodakdev, ahmedabad",12000,2000,carpet,shilp devraj tower,flat,3,2.4
cloud 9,"satellite, ahmedabad",10021,2295,super,cloud 9,flat,3,2.3
cloud 9,"satellite, ahmedabad",7460,3150,super,cloud 9,flat,3,2.35
madhav oeuvre iconic,"bodakdev, ahmedabad",8078,2847,plot,madhav oeuvre iconic,flat,3,2.3
deep indraprasth -3,"shyamal, 132 ft ring road",8214,2800,super,deep indraprasth -3,house,3,2.3
cloud 9,"satellite, ahmedabad",8975,3231,super,cloud 9,house,3,2.9
ratnanjali hastinapur the royal legacy,"prahlad nagar, sg highway",15220,1314,built-up,ratnanjali hastinapur the royal legacy,flat,3,2
cloud 9,"satellite, ahmedabad",9803,2295,super,cloud 9,flat,3,2.25
venus ivy,"satellite, ahmedabad",8108,2775,built-up,venus ivy,flat,3,2.25
madhav oeuvre iconic,"bodakdev, ahmedabad",7700,2847,built-up,madhav oeuvre iconic,flat,3,2.19
kaladeep apartments,"satellite, ahmedabad",6428,3500,super,kaladeep apartments,house,3,2.25
goyal royal orchid,"prahlad nagar, sg highway",11695,1881,built-up,goyal royal orchid,flat,3,2.2
cloud 9,"satellite, ahmedabad",9586,2295,super,cloud 9,flat,3,2.2
"raghuvansh-2, navrangpura","raghuvansh-2, navrangpura",11333,1500,super,"raghuvansh-2, navrangpura",flat,3,1.7
gold coin,gold coin,7346,2178,super,gold coin,flat,3,1.6
advait appartment,"vijay cross roads, cg road, ahmedabad",10204,2205,carpet,advait appartment,flat,3,2.25
advance le jardin,"ellisbridge, ashram road, ahmedabad",8775,2564,super,advance le jardin,flat,3,2.25
takshashila air,"ellisbridge, ashram road, ahmedabad",8771,2360,built-up,takshashila air,flat,3,2.07
aakar shree kunj residency,"navarangpura gam, cg road, ahmedabad",6857,3500,super,aakar shree kunj residency,flat,4,2.4
naimesh park society,"ellisbridge, ashram road, ahmedabad",10756,4000,built-up,naimesh park society,flat,4,1.99
sewani viceroy villa apartments,"vastrapur gam, 132 ft ring road",6173,3240,super,sewani viceroy villa apartments,house,4,2
nirvana arise,"vijay cross roads, cg road, ahmedabad",7220,2770,super,nirvana arise,flat,4,2
friendsville lifestyle,"ellisbridge, ashram road, ahmedabad",10455,3252,built-up,friendsville lifestyle,flat,4,3.4
samyak 49,"cg road, ahmedabad",13411,2585,super,samyak 49,flat,3,1.95
takshashila air,"ellisbridge, ashram road, ahmedabad",7500,2400,built-up,takshashila air,flat,3,1.8
takshashila air,"ellisbridge, ashram road, ahmedabad",7131,2412,built-up,takshashila air,flat,3,1.72
sheth serenita,"ellisbridge, ashram road, ahmedabad",7111,2250,built-up,sheth serenita,flat,3,1.6
arvind citadel,"ellisbridge, ashram road, ahmedabad",15023,1065,carpet,arvind citadel,flat,3,1.6
bhumi appartment,"cg road, ahmedabad",50000,300,super,bhumi appartment,flat,3,1.5
takshashila air,"ellisbridge, ashram road, ahmedabad",5761,2430,super,takshashila air,flat,3,1.4
takshashila elegna,"ellisbridge, ashram road, ahmedabad",8144,1719,built-up,takshashila elegna,flat,3,1.4
friendsville lifestyle,"ellisbridge, ashram road, ahmedabad",8735,4350,super,friendsville lifestyle,flat,4,3.8
dev atharva abode,dev atharva abode,378,19859,super,dev atharva abode,flat,3,0.75
parishram florenza,parishram florenza,3138,2390,super,parishram florenza,flat,3,0.75
garden eden,garden eden,5102,1372,super,garden eden,flat,3,0.7
samvaad samanvay,samvaad samanvay,4861,1440,built-up,samvaad samanvay,flat,3,0.7
deep indraprasth saptak,"innaranpura, 132 ft ring road",5481,3120,super,deep indraprasth saptak,flat,3,1.71
vp kiva 261,"inshyamal, 132 ft ring road",10917,1603,super,vp kiva 261,flat,3,1.75
castle living apartment,castle living apartment,6534,1760,built-up,castle living apartment,flat,3,1.15
vishwa lake iksa,"innaranpura, 132 ft ring road",,1971,super,vishwa lake iksa,flat,3,
nishant ratnaakar 4,nishant ratnaakar 4,9179,2070,super,nishant ratnaakar 4,flat,3,1.9
nishant ratnaakar caledonia,nishant ratnaakar caledonia,12037,2700,super,nishant ratnaakar caledonia,flat,3,3.25
opera - sukhipura road,opera - sukhipura road,7602,1710,super,opera - sukhipura road,flat,3,1.3
nr vasantkunj cross road,nr vasantkunj cross road,6856,2115,super,nr vasantkunj cross road,flat,3,1.45
nr dharnidhar cross road,nr dharnidhar cross road,7115,1827,super,nr dharnidhar cross road,flat,3,1.3
chavda prasthan appartments,chavda prasthan appartments,12751,2981,built-up,chavda prasthan appartments,flat,3,2.1
jalvihar flat,jalvihar flat,6379,2430,carpet,jalvihar flat,flat,3,1.55
mangaldeep apartment,mangaldeep apartment,7819,1215,carpet,mangaldeep apartment,house,3,0.95
pramukh residency,pramukh residency,6551,1450,super,pramukh residency,flat,3,0.95
narayan krupa avenue,narayan krupa avenue,8254,1575,carpet,narayan krupa avenue,flat,3,1.3
ratnaakar atelier,ratnaakar atelier,15909,1791,super,ratnaakar atelier,flat,3,1.75
hiramani apartments,hiramani apartments,8080,1485,carpet,hiramani apartments,flat,3,1.2
vibhuti apartment,vibhuti apartment,8252,1333,super,vibhuti apartment,flat,3,1.1
ashtmangal apartment,ashtmangal apartment,6666,2200,super,ashtmangal apartment,flat,3,1
"suvidha apartment, haridas colony","suvidha apartment, haridas colony",8620,1450,super,"suvidha apartment, haridas colony",flat,3,1.25
sun divine 2,sun divine 2,10000,2000,super,sun divine 2,flat,3,2
smita tower,smita tower,6944,1800,super,smita tower,flat,3,1.25
indraprasth tower,indraprasth tower,6933,1125,carpet,indraprasth tower,flat,3,0.75
suryansh skyline,"innaranpura, 132 ft ring road",5660,1855,super,suryansh skyline,flat,3,1.05
sugam apartment,sugam apartment,7507,1332,built-up,sugam apartment,flat,3,1
kamnath bansari apartment,kamnath bansari apartment,9555,1800,super,kamnath bansari apartment,flat,3,1.72
maple14,maple14,7059,1530,super,maple14,flat,3,1.3
chinmay crystal,chinmay crystal,8635,1575,built-up,chinmay crystal,flat,3,1.36
sheetal westpark residency,sheetal westpark residency,8580,1585,super,sheetal westpark residency,flat,3,1.36
sheetal westpark residency,sheetal westpark residency,10643,2020,super,sheetal westpark residency,flat,3,2.15
pruthvi towers,pruthvi towers,10159,1575,carpet,pruthvi towers,flat,3,1.6
maple tree garden homes,maple tree garden homes,11278,2394,super,maple tree garden homes,flat,3,2.7
avisha,avisha,9509,1998,built-up,avisha,flat,3,1.9
vishwanath sharanam 1,vishwanath sharanam 1,7291,1440,super,vishwanath sharanam 1,flat,3,1.05
aaryabhumi apartment,aaryabhumi apartment,9024,2050,super,aaryabhumi apartment,flat,3,1.85
arjun elegance,arjun elegance,8254,1575,carpet,arjun elegance,flat,3,1.3
venus ivy,venus ivy,7551,2781,built-up,venus ivy,flat,3,2.1
nishant rosewood estate,nishant rosewood estate,7507,1665,super,nishant rosewood estate,flat,3,1.25
deep indraprasth saptak,deep indraprasth saptak,6666,2250,super,deep indraprasth saptak,flat,3,1.5
on request,on request,8739,1602,super,on request,flat,3,1.4
satyam skyline 2,satyam skyline 2,7834,1672,super,satyam skyline 2,flat,3,1.31
aarohi avinya,aarohi avinya,7500,2425,super,aarohi avinya,flat,3,1.82
sur sagar apartment,sur sagar apartment,7407,1665,super,sur sagar apartment,flat,3,1.1
aarohi avinya,aarohi avinya,7216,2425,super,aarohi avinya,flat,3,1.75
deep indraprasth saptak,deep indraprasth saptak,6500,2250,super,deep indraprasth saptak,flat,3,1.46
kala tirth,kala tirth,9578,1525,super,kala tirth,flat,3,1.25
kaivalyadham apartments,kaivalyadham apartments,4769,1845,super,kaivalyadham apartments,flat,3,0.88
sugam apartment,sugam apartment,13200,1250,built-up,sugam apartment,flat,3,1.65
shakti enclave,shakti enclave,7478,2340,super,shakti enclave,flat,3,1.75
aarohi avinya,aarohi avinya,8750,2400,super,aarohi avinya,flat,3,2.1
3rd eye blessing,3rd eye blessing,10000,1710,super,3rd eye blessing,flat,3,1.71
venus ivy,venus ivy,7479,2781,built-up,venus ivy,flat,3,2.08
nr gulbai tekra,nr gulbai tekra,7778,2700,super,nr gulbai tekra,flat,3,2.1
excel vivekanand arise,excel vivekanand arise,7591,1910,super,excel vivekanand arise,flat,3,1.45
excel vivekanand arise,excel vivekanand arise,7602,1710,super,excel vivekanand arise,flat,3,1.3
aarohi avinya,aarohi avinya,7500,2400,super,aarohi avinya,flat,3,1.8
pruthvi towers,pruthvi towers,5093,2700,super,pruthvi towers,house,3,1.1
solaris residency,solaris residency,6000,2610,super,solaris residency,flat,3,1.57
nr jodhpur cross road,nr jodhpur cross road,8200,3000,super,nr jodhpur cross road,flat,3,2.46
maple tree garden homes,maple tree garden homes,19318,1320,carpet,maple tree garden homes,flat,3,2.55
advait appartment,advait appartment,10204,2205,carpet,advait appartment,flat,3,2.25
pratiksha apartment,pratiksha apartment,5050,1980,super,pratiksha apartment,flat,3,1
dev solitaire,dev solitaire,8570,2042,super,dev solitaire,flat,3,1.75
shantinath apartments,shantinath apartments,6195,1485,super,shantinath apartments,flat,3,0.92
rosewood flats,rosewood flats,7327,1665,super,rosewood flats,flat,3,1.22
aaryabhumi apartment,aaryabhumi apartment,12345,1215,carpet,aaryabhumi apartment,flat,3,1.5
shivalik sharda harmony,shivalik sharda harmony,8571,2100,super,shivalik sharda harmony,flat,3,1.8
shree narayan exotica,shree narayan exotica,11360,1799,super,shree narayan exotica,flat,3,1.05
rajshree tower,rajshree tower,7262,1790,super,rajshree tower,flat,3,1.3
aishwarya apartment,aishwarya apartment,6222,1350,super,aishwarya apartment,flat,3,0.84
savaliya ravi niketan,savaliya ravi niketan,5865,1790,super,savaliya ravi niketan,flat,3,1.05
santosh shantiniketan 2,santosh shantiniketan 2,5714,2625,super,santosh shantiniketan 2,flat,3,1.5
yash arian,yash arian,7275,1512,carpet,yash arian,flat,3,1.1
sargam flat,sargam flat,6173,3240,super,sargam flat,flat,3,2
domain heights,domain heights,11724,1450,carpet,domain heights,flat,3,1.7
devarshi appartment,"road, ahmedabad",6313,1980,super,devarshi appartment,flat,3,1.25
sheetal westpark residency,sheetal westpark residency,8201,1585,built-up,sheetal westpark residency,flat,3,1.3
aaryabhumi apartment,aaryabhumi apartment,8296,2025,super,aaryabhumi apartment,flat,3,1.68
pruthvi towers,pruthvi towers,10717,1073,carpet,pruthvi towers,flat,3,1.15
yash arian,yash arian,6958,1509,super,yash arian,flat,3,1.05
venus ivy,venus ivy,7551,2781,super,venus ivy,flat,3,2.1
venus ivy,venus ivy,9349,2781,super,venus ivy,flat,3,2.6
sheetal westpark residency,sheetal westpark residency,9504,2020,super,sheetal westpark residency,flat,3,1.92
atirth apartment,atirth apartment,5794,1260,super,atirth apartment,flat,3,0.73
sheetal westpark residency,sheetal westpark residency,8517,1585,super,sheetal westpark residency,flat,3,1.35
aarohi avinya,aarohi avinya,8750,2400,super,aarohi avinya,flat,3,2.1
cloud 9,cloud 9,10021,2295,super,cloud 9,flat,3,2.3
jade vertex luxuria,jade vertex luxuria,6211,2125,super,jade vertex luxuria,flat,3,1.32
arvind citadel,arvind citadel,7107,1618,built-up,arvind citadel,flat,3,1.15
astha apartment,astha apartment,5407,1350,super,astha apartment,flat,3,0.73
devarsh apartment,devarsh apartment,5777,2250,super,devarsh apartment,flat,3,1.3
anmol tower,anmol tower,6436,1476,super,anmol tower,flat,3,0.95
satyam skyline,satyam skyline,11719,1764,super,satyam skyline,flat,3,1.35
rameshwar city,rameshwar city,5450,2116,super,rameshwar city,flat,3,1.15
rameshwar city,rameshwar city,5450,1890,super,rameshwar city,flat,3,1.03
venus deshna,venus deshna,7824,1926,super,venus deshna,flat,3,1.51
aarohi avinya,aarohi avinya,7010,2425,super,aarohi avinya,flat,3,1.7
shivrudra serene heights,shivrudra serene heights,5621,2259,super,shivrudra serene heights,flat,3,1.27
shivalik sharda harmony,shivalik sharda harmony,7901,2025,super,shivalik sharda harmony,flat,3,1.6
utsav elegance,utsav elegance,7500,1800,carpet,utsav elegance,flat,3,1.35
yashasvi elegance,yashasvi elegance,8009,2185,super,yashasvi elegance,flat,3,1.75
sardar patel nagar society,sardar patel nagar society,5432,1620,carpet,sardar patel nagar society,flat,3,0.88
vraj vihar 2,vraj vihar 2,6746,1386,super,vraj vihar 2,flat,3,0.935
vivekanand arise,vivekanand arise,8771,1710,super,vivekanand arise,flat,3,1.5
anuvrat,anuvrat,7215,2772,super,anuvrat,flat,3,2
narayan krupa avenue,narayan krupa avenue,8571,1575,super,narayan krupa avenue,flat,3,1.35
cloud 9,cloud 9,9803,2295,super,cloud 9,flat,3,2.25
ratnaakar atelier,ratnaakar atelier,10938,1737,super,ratnaakar atelier,flat,3,1.9
aaryabhumi apartment,aaryabhumi apartment,9024,2050,super,aaryabhumi apartment,flat,3,1.85
shyamal to shivranjani road,shyamal to shivranjani road,8156,2268,super,shyamal to shivranjani road,flat,3,1.85
nr chimanbhai ground,nr chimanbhai ground,6295,2764,super,nr chimanbhai ground,flat,3,1.74
calica 3rd eye blessing,calica 3rd eye blessing,11111,1740,super,calica 3rd eye blessing,flat,3,1.5
shikhar apartment,shikhar apartment,6504,1845,super,shikhar apartment,flat,3,1.2
vaibhav deluxe tower,vaibhav deluxe tower,5556,1620,super,vaibhav deluxe tower,flat,3,0.9
rameshwar city,rameshwar city,5500,2116,super,rameshwar city,flat,3,1.16
rameshwar city,rameshwar city,5500,1890,super,rameshwar city,flat,3,1.04
casa vyoma,casa vyoma,9009,1665,super,casa vyoma,flat,3,1.5
devsiddhi greens,devsiddhi greens,6506,1998,super,devsiddhi greens,flat,3,1.3
sardar patel nagar society,sardar patel nagar society,10000,700,carpet,sardar patel nagar society,flat,3,0.7
payal apartment,payal apartment,7222,1800,super,payal apartment,flat,3,1.3
shruti apartment,shruti apartment,5975,2025,super,shruti apartment,flat,3,1.21
shruti apartment,shruti apartment,5873,1890,super,shruti apartment,flat,3,1.11
nirmal apartment,nirmal apartment,11355,1180,super,nirmal apartment,flat,3,1.34
rameshwar city,rameshwar city,6143,2116,super,rameshwar city,flat,3,1.3
sneh apartment,sneh apartment,11429,1575,carpet,sneh apartment,flat,3,1.8
sun divine 2,sun divine 2,10000,2000,super,sun divine 2,flat,3,2
navkar kadamb apartment,navkar kadamb apartment,5980,2358,super,navkar kadamb apartment,flat,3,1.41
venus ivy,venus ivy,8108,2775,built-up,venus ivy,flat,3,2.25
h4 apartment,h4 apartment,7000,1933,super,h4 apartment,flat,3,1.35
h4 apartment,h4 apartment,7000,1865,super,h4 apartment,flat,3,1.31
h4 apartment,h4 apartment,7000,1732,super,h4 apartment,flat,3,1.21
aarohi avinya,aarohi avinya,7500,2400,super,aarohi avinya,flat,3,1.8
aarohi avinya,aarohi avinya,7500,2360,super,aarohi avinya,flat,3,1.77
nr iim road,nr iim road,8131,1980,super,nr iim road,flat,3,1.61
cloud 9,cloud 9,9150,2295,carpet,cloud 9,flat,3,2.1
anmol tower,anmol tower,7407,1485,super,anmol tower,flat,3,1.1
deep indraprasth 2,deep indraprasth 2,8692,1323,super,deep indraprasth 2,flat,3,1.15
nishant rosewood estate,nishant rosewood estate,7507,1665,super,nishant rosewood estate,flat,3,1.25
anurag residency,anurag residency,6285,1400,super,anurag residency,flat,3,0.88
nishant ratnaakar 4,nishant ratnaakar 4,8804,2100,super,nishant ratnaakar 4,flat,3,1.85
pruthvi towers,pruthvi towers,8547,1287,carpet,pruthvi towers,flat,3,1.1
anushri pratistha,anushri pratistha,6613,2268,super,anushri pratistha,flat,3,1.5
kaladeep apartments,kaladeep apartments,8055,1800,super,kaladeep apartments,flat,3,1.45
shivalik sachin tower,shivalik sachin tower,7825,1440,super,shivalik sachin tower,flat,3,1
h4u spk,h4u spk,6944,1800,super,h4u spk,flat,3,1.25
cloud 9,cloud 9,9586,2295,super,cloud 9,flat,3,2.2
venus deshna,venus deshna,6912,1908,super,venus deshna,flat,3,1.32
excel vivekanand arise,excel vivekanand arise,7172,1910,super,excel vivekanand arise,flat,3,1.37
sbi viram flat,sbi viram flat,7556,1125,super,sbi viram flat,flat,3,0.85
anmol flats,anmol flats,6973,2151,carpet,anmol flats,flat,3,1.5
rajvi opal,rajvi opal,5497,1728,super,rajvi opal,flat,3,0.95
addor arise home residency,addor arise home residency,6500,2100,super,addor arise home residency,flat,3,1.37
deep indraprasth saptak,deep indraprasth saptak,6300,2300,super,deep indraprasth saptak,flat,3,1.45
adoor arise,adoor arise,6803,2043,super,adoor arise,flat,3,1.39
shivalik sharda harmony,shivalik sharda harmony,7111,2025,plot,shivalik sharda harmony,flat,3,1.44
sheetal westpark residency,sheetal westpark residency,8012,1585,super,sheetal westpark residency,flat,3,1.27
sardar patel nagar society,sardar patel nagar society,8889,1350,super,sardar patel nagar society,flat,3,1.2
aishwarya apartment,aishwarya apartment,6074,1350,super,aishwarya apartment,flat,3,0.82
arjun elegance,arjun elegance,7027,1665,super,arjun elegance,flat,3,1.17
chavda prasthan appartments,chavda prasthan appartments,8423,2493,super,chavda prasthan appartments,flat,3,2.1
shivalik sachin tower,shivalik sachin tower,7638,1440,super,shivalik sachin tower,flat,3,1.1
new project,new project,10000,1800,super,new project,flat,3,1
aaradhya apartment,aaradhya apartment,5878,1395,super,aaradhya apartment,house,3,0.82
vaibhav deluxe tower,vaibhav deluxe tower,5405,1665,built-up,vaibhav deluxe tower,flat,3,0.9
archan apartment,archan apartment,5160,1647,carpet,archan apartment,flat,3,0.85
azad apartments,azad apartments,59090,110,plot,azad apartments,flat,3,0.65
casa vyoma,casa vyoma,8708,1665,super,casa vyoma,flat,3,1.45
antriksh complex,antriksh complex,4938,1620,carpet,antriksh complex,flat,3,0.8
sonnet opus,sonnet opus,6976,2150,super,sonnet opus,flat,3,1.5
yashprabha apartment,yashprabha apartment,5833,1200,carpet,yashprabha apartment,flat,3,0.7
indraprasth tower,indraprasth tower,6598,1076,super,indraprasth tower,flat,3,0.71
shivalik sachin tower,shivalik sachin tower,6302,1301,super,shivalik sachin tower,flat,3,0.82
safal parivesh,safal parivesh,5970,2010,super,safal parivesh,flat,3,1.2
shagun castle,shagun castle,8230,1215,built-up,shagun castle,flat,3,1.1
parnkunj apartment,parnkunj apartment,4977,2109,super,parnkunj apartment,flat,3,1.05
hrishiraj h4,"inambawadi, 132 ft ring road",,949,super,hrishiraj h4,flat,3,
deep tower,deep tower,9722,1440,super,deep tower,house,3,1.4
deep indraprasth greens,deep indraprasth greens,10964,1815,super,deep indraprasth greens,flat,3,1.99
sur sagar tower,sur sagar tower,7407,1485,carpet,sur sagar tower,flat,3,1.1
law garden apartment 1,law garden apartment 1,10204,2450,super,law garden apartment 1,flat,3,2.5
anmol tower,anmol tower,7407,1485,super,anmol tower,flat,3,1.1
shalin otium,shalin otium,6246,1681,super,shalin otium,flat,3,1.05
shagun jyoti,shagun jyoti,9000,1500,super,shagun jyoti,flat,3,1.35
samyak 49,samyak 49,16082,1399,super,samyak 49,flat,3,2.25
prerna viraj 2,prerna viraj 2,4588,1700,built-up,prerna viraj 2,flat,3,0.78
prerna viraj 2,prerna viraj 2,5466,1500,built-up,prerna viraj 2,flat,3,0.82
krishna tower,krishna tower,6819,1305,super,krishna tower,flat,3,0.89
vishal tower,vishal tower,5438,1655,super,vishal tower,flat,3,0.9
sun aalekh,sun aalekh,5252,1485,super,sun aalekh,flat,3,0.78
azad apartments,azad apartments,48000,125,plot,azad apartments,flat,3,0.6
iscon park,iscon park,6513,1485,super,iscon park,flat,3,0.85
asha kiran tower,asha kiran tower,4504,1980,super,asha kiran tower,house,3,0.75
iscon park,iscon park,5270,1480,super,iscon park,flat,3,0.78
abhilaxmi apartment,abhilaxmi apartment,6586,1670,super,abhilaxmi apartment,flat,3,1.1
yash arian,yash arian,7289,1509,super,yash arian,flat,3,1.1
prerna viraj 2,prerna viraj 2,7936,1260,super,prerna viraj 2,flat,3,1
yash arian,yash arian,8249,1188,plot,yash arian,flat,3,0.98
deshna appartment,deshna appartment,6806,1440,carpet,deshna appartment,flat,3,0.98
sachin towers,sachin towers,6838,1170,carpet,sachin towers,flat,3,0.8
shivalik sachin tower,shivalik sachin tower,5926,1350,super,shivalik sachin tower,flat,3,0.8
vishwa sachet allure,vishwa sachet allure,5902,1440,super,vishwa sachet allure,flat,3,0.85
high scope apartment,high scope apartment,8333,1800,carpet,high scope apartment,house,3,1.5
"devershi appartment,opp drive","road, ahmedabad",6313,1980,super,"devershi appartment,opp drive",flat,3,1.25
tirupati aprtments,tirupati aprtments,3862,1683,carpet,tirupati aprtments,flat,3,0.65
sarjan tower,sarjan tower,4920,1260,super,sarjan tower,flat,3,0.62
iscon gurukul park,iscon gurukul park,6250,1360,built-up,iscon gurukul park,flat,3,0.85
krishna apartment ahmedabad west,krishna apartment ahmedabad west,5416,1200,carpet,krishna apartment ahmedabad west,flat,3,0.65
pratistha apartment,pratistha apartment,5719,1836,built-up,pratistha apartment,flat,3,1.05
prabhu kutir,prabhu kutir,7502,1053,super,prabhu kutir,flat,3,0.79
abhinandan apartment,abhinandan apartment,6896,1305,carpet,abhinandan apartment,flat,3,0.9
on request,on request,6296,2700,carpet,on request,flat,3,1.7
vivan cloud 9,vivan cloud 9,8279,2295,built-up,vivan cloud 9,flat,3,1.9
swastic pranayata park chs,swastic pranayata park chs,5291,1890,carpet,swastic pranayata park chs,flat,3,1
sagar apartment,sagar apartment,6944,1440,carpet,sagar apartment,flat,3,1
prerna viraj 2,prerna viraj 2,9047,1050,super,prerna viraj 2,flat,3,0.95
nan,"vastrapur, 132 ft ring road",6410,1170,built-up,nan,flat,3,0.75
bhumi appartment,bhumi appartment,50000,300,super,bhumi appartment,flat,3,1.5
adhiraj apartment,adhiraj apartment,8754,1485,super,adhiraj apartment,house,3,1.3
nan,"navrangpura, cg road, ahmedabad",2666,1500,built-up,nan,flat,3,0.4
pushpak,pushpak,7310,1710,super,pushpak,flat,3,1.25
shyavmrund appts,shyavmrund appts,11000,1500,super,shyavmrund appts,flat,3,1.65
deep indraprasth saptak,deep indraprasth saptak,6300,2300,super,deep indraprasth saptak,flat,3,1.45
radheshyam madhav pride,radheshyam madhav pride,60096,208,carpet,radheshyam madhav pride,flat,3,1.25
home maker apriprose 2,home maker apriprose 2,8117,1971,carpet,home maker apriprose 2,flat,3,1.6
sun breeze tower,sun breeze tower,6296,1350,super,sun breeze tower,flat,3,0.85
sigma serene,sigma serene,6293,1589,super,sigma serene,flat,3,1
swara sapphire 2,swara sapphire 2,13072,1755,super,swara sapphire 2,flat,3,1.2
abhishek heights,abhishek heights,3823,1700,super,abhishek heights,flat,3,0.65
shivalik sharda harmony,shivalik sharda harmony,9077,2093,super,shivalik sharda harmony,flat,3,1.85
manibhadra avenue,manibhadra avenue,6734,1485,super,manibhadra avenue,flat,3,1
golden triangle,golden triangle,7760,1250,carpet,golden triangle,flat,3,0.97
shiv tower,shiv tower,5761,1215,super,shiv tower,flat,3,0.7
deep indraprasth greens,deep indraprasth greens,10270,1850,built-up,deep indraprasth greens,flat,3,1.9
saptak 2 apartment,"road, ahmedabad",7222,1800,super,saptak 2 apartment,flat,3,1.3
sterling park society,sterling park society,6032,1575,super,sterling park society,flat,3,0.95
panctirth tower,panctirth tower,6584,2430,super,panctirth tower,flat,3,1.6
anurag residency,anurag residency,9259,1080,built-up,anurag residency,flat,3,1
sun breeze tower,sun breeze tower,5556,1620,built-up,sun breeze tower,house,3,0.9
takshashila elegna residential,takshashila elegna residential,5669,1764,built-up,takshashila elegna residential,flat,3,1
"law garden gandhi baug colony, nilkamal apartment","law garden gandhi baug colony, nilkamal apartment",8800,1000,super,"law garden gandhi baug colony, nilkamal apartment",flat,3,0.88
kaladeep apartments,kaladeep apartments,7477,3330,super,kaladeep apartments,house,3,2.49
